Id,CreatedDate,Service_Application,Number_of_Repairs,Project,Repair_Activity,Repair_Area,Status,Contractor_Bid,Priority,Quick_Notes,Repair_Cost
repair_0,2018-04-11 21:34:59,service_app_33,,,Replacement,Roof,Assigned,,,,
repair_1,2021-07-21 16:05:25,service_app_129,1.0,,,Appliances,Assigned,,Medium,Kitchen vent hood cleaned,
repair_2,2021-07-21 16:08:04,service_app_129,1.0,,Repair,HVAC,Assigned,,Low,Thermostat,
repair_3,2021-07-21 21:37:02,service_app_158,6.0,,,Bathroom,Work Completed,contractor_bid_3,High,"Renovate bathroom to include a walk-in shower, handheld shower set, grab bars, new vanity, paint and flooring",
repair_4,2021-07-21 21:38:16,service_app_158,1.0,,Test,Lead Safety,Work Completed,contractor_bid_1,Critical,Lead paint inspection completed,
repair_5,2021-07-21 21:39:58,service_app_158,1.0,,,Exterior,Work Completed,contractor_bid_3,Medium,Repair leaking exterior spigot,
repair_6,2021-07-21 21:40:56,service_app_158,3.0,,,Kitchen,Work Completed,contractor_bid_3,High,"Repair leaking plumbing, damaged cabinets and countertops",
repair_7,2021-07-21 21:42:32,service_app_158,1.0,,,Walkways/Entryways/Sidewalks,In Progress,contractor_bid_2,High,Install handrails on front entry,
repair_8,2021-07-21 21:41:28,service_app_158,1.0,,,Appliances,Work Completed,contractor_bid_3,Medium,Install new range vent in kitchen,
repair_9,2021-07-21 21:43:07,service_app_158,1.0,,Repair,Roof,In Progress,contractor_bid_2,High,Repair edges of roof,
repair_10,2021-07-27 16:23:17,service_app_158,1.0,,,Grab Bars/Railings,Work Completed,,Critical,Grab bars installed in bathroom/shower,
repair_11,2021-07-27 16:47:45,service_app_158,2.0,,Exterior,Doors/Locks,Work Completed,contractor_bid_3,High,Replace exterior front entry door and security door,
repair_12,2021-07-28 15:29:52,service_app_151,,,Replacement,Roof,In Progress,,High,,
repair_13,2021-07-28 15:41:27,service_app_161,,project_0,,Tub/Tile,Assigned,contractor_bid_5,Critical,-Convert bathtub to shower with tile surround and handheld shower combo kit,
repair_14,2021-07-28 15:42:17,service_app_161,3.0,project_0,,Grab Bars/Railings,Assigned,contractor_bid_5,Critical,-re-install 3 grab bars in bathroom,
repair_15,2021-07-28 15:43:49,service_app_161,2.0,project_0,,Cabinets,Assigned,contractor_bid_5,Low,-Repair loose bathroom vanity cabinet -Install new vanity top -Install vanity new faucet,
repair_16,2021-07-28 15:51:44,service_app_161,,project_0,,Handrails,Assigned,,High,-Install exterior handrails down the sidewalk extending to driveway,
repair_17,2021-07-28 16:04:19,service_app_161,,project_0,,Appliances,Assigned,,Medium,-New over the stove exhaust hood,
repair_18,2021-07-28 15:56:00,service_app_161,,project_0,,Bathroom,Assigned,contractor_bid_5,High,-Install bathroom fan,
repair_19,2021-07-28 16:03:30,service_app_161,,project_0,,Appliances,Assigned,,High,-New range,
repair_20,2021-07-28 16:08:28,service_app_161,,project_0,,Kitchen,Assigned,contractor_bid_5,High,-Convert wall oven cabinet to pantry/storage -Remove stovetop & base cabinet to replace with range -Replace countertops -New sink faucet -Replace vent hood with new recirculating hood,
repair_21,2021-07-28 16:29:19,service_app_161,1.0,project_0,Test,Lead Safety,Need Identified,,Critical,,
repair_22,2021-07-28 16:15:40,service_app_161,,project_0,Critical,HVAC,Assigned,contractor_bid_6,High,-Install new unit including ductwork (no current central a/c),
repair_23,2021-07-28 16:16:17,service_app_161,,project_0,Exterior,Doors/Locks,Assigned,contractor_bid_5,High,-Install new back patio door,
repair_24,2021-07-28 16:26:54,service_app_161,,project_0,Fire Extinguishers,Safety Items,Assigned,,High,RTN,
repair_25,2021-07-28 16:27:54,service_app_161,,project_0,Smoke Detectors,Safety Items,Assigned,,High,RTN,
